t-SNE1,t-SNE2,Image,ecco_id,estc_id,total_price
1.4176718,-0.57061505,036220180000350,362201800,T133351,18.0
0.72701514,0.08438057,085750090003020,857500900,T210906,30.0
-1.2021133,-0.3887648,171230130101070,1712301301,T77908,90.0
-1.2021133,-0.3887648,171230130101070,1712301301,T77908,90.0
-0.07967055,0.9505195,133230130002160,1332301300,N36448,36.0
-0.12722908,1.5606598,157060010202850,1570600102,T59882,600.0
-1.1056275,-0.66624016,171230130101090,1712301301,T77908,90.0
-1.1056275,-0.66624016,171230130101090,1712301301,T77908,90.0
-0.23722336,1.63801,157060010204160,1570600102,T59882,600.0
-0.005062428,-0.7586893,126280120000230,1262801200,N3839,60.0
-0.005062428,-0.7586893,126280120000230,1262801200,N3839,60.0
-1.0257729,-0.7486213,171230130101130,1712301301,T77908,90.0
-1.0257729,-0.7486213,171230130101130,1712301301,T77908,90.0
0.8122347,-1.483814,123130120000370,1231301200,N9842,12.0
0.8122347,-1.483814,123130120000370,1231301200,N9842,12.0
0.8122347,-1.483814,123130120000370,1231301200,N9842,12.0
0.8122347,-1.483814,123130120000370,1231301200,N9842,12.0
-1.131157,-1.0000784,171230130100390,1712301301,T77908,90.0
-1.131157,-1.0000784,171230130100390,1712301301,T77908,90.0
0.8984604,-1.5681226,009960420000110,99604200,N3021,12.0
1.7457309,-0.8719552,036220180002290,362201800,T133351,18.0
-0.3379647,1.0866909,133230130001970,1332301300,N36448,36.0
-0.5953864,0.9060894,133230130002140,1332301300,N36448,36.0
0.051075954,-0.37594217,126280120000690,1262801200,N3839,60.0
0.051075954,-0.37594217,126280120000690,1262801200,N3839,60.0
0.25559118,1.9653015,155720010401460,1557200104,T192639,756.0
-0.48245543,-0.90134305,126280120000150,1262801200,N3839,60.0
0.84646326,0.1620206,085750090002880,857500900,T210906,30.0
1.6896751,-0.6392751,036220180001750,362201800,T133351,18.0
-0.56848395,-0.47197145,126280120000680,1262801200,N3839,60.0
-0.56848395,-0.47197145,126280120000680,1262801200,N3839,60.0
-0.29237202,1.7480686,155720010100530,1557200101,T192639,756.0
-0.97834015,-0.63287455,171230130100550,1712301301,T77908,90.0
-0.97834015,-0.63287455,171230130100550,1712301301,T77908,90.0
-0.82587326,-1.0456742,171230130101200,1712301301,T77908,90.0
-0.82587326,-1.0456742,171230130101200,1712301301,T77908,90.0
0.23832156,0.10711929,086730020000780,867300200,T66029,54.0
-0.9305549,-0.9875999,171230130100750,1712301301,T77908,90.0
-0.9305549,-0.9875999,171230130100750,1712301301,T77908,90.0
-1.1477817,-1.083015,171230130100290,1712301301,T77908,90.0
-1.4964199,-0.92965084,171230130100210,1712301301,T77908,90.0
-1.4964199,-0.92965084,171230130100210,1712301301,T77908,90.0
0.32003924,1.8911953,059560030000010,595600300,T85761,48.0
1.336787,-0.57974,036220180002060,362201800,T133351,18.0
-0.06043961,-0.5191003,126280120000140,1262801200,N3839,60.0
0.35000825,0.20555401,086730020001030,867300200,T66029,54.0
-0.51832366,0.6394242,133230130001870,1332301300,N36448,36.0
-0.9877157,-0.40570432,171230130100480,1712301301,T77908,90.0
-0.9877157,-0.40570432,171230130100480,1712301301,T77908,90.0
-1.1230928,-0.8013585,171230130100690,1712301301,T77908,90.0
-1.1230928,-0.8013585,171230130100690,1712301301,T77908,90.0
-1.1230928,-0.8013585,171230130100690,1712301301,T77908,90.0
0.7055795,0.18208596,013910020002310,139100200,T18586,180.0
1.6119434,-0.40708473,036220180000610,362201800,T133351,18.0
-0.14332996,-0.2662255,126280120000620,1262801200,N3839,60.0
0.11523611,1.8140917,094090030100030,940900301,T67135,276.0
1.3875043,-0.67233473,036220180000190,362201800,T133351,18.0
1.7378937,-0.6392524,036220180000820,362201800,T133351,18.0
0.97420007,-1.4829882,123130120000380,1231301200,N9842,12.0
0.97420007,-1.4829882,123130120000380,1231301200,N9842,12.0
-0.18465425,1.6554785,157060010202010,1570600102,T59882,600.0
-1.0517814,-0.5940375,171230130100620,1712301301,T77908,90.0
-1.0517814,-0.5940375,171230130100620,1712301301,T77908,90.0
1.3787146,-0.6103039,036220180000370,362201800,T133351,18.0
1.5972483,-0.7277511,036220180001110,362201800,T133351,18.0
0.78743875,-1.4767361,123130120000350,1231301200,N9842,12.0
0.78743875,-1.4767361,123130120000350,1231301200,N9842,12.0
0.78743875,-1.4767361,123130120000350,1231301200,N9842,12.0
0.29613286,1.802861,155720010102940,1557200101,T192639,756.0
-0.83924,-0.32194477,171230130100910,1712301301,T77908,90.0
-0.83924,-0.32194477,171230130100910,1712301301,T77908,90.0
-1.0243281,-0.5676955,171230130101020,1712301301,T77908,90.0
-1.0243281,-0.5676955,171230130101020,1712301301,T77908,90.0
1.422436,-0.905556,036220180000870,362201800,T133351,18.0
-0.35530514,0.7611646,133230130002090,1332301300,N36448,36.0
-0.1500592,-0.7167932,126280120000270,1262801200,N3839,60.0
1.6377769,-0.87347853,036220180000890,362201800,T133351,18.0
0.75815487,0.049971897,060840060003280,608400600,T95727,30.0
-0.28202727,1.839621,086980060001190,869800600,T63212,324.0
1.3987335,-1.1910148,168150010000220,1681500100,T167430,48.0
1.3987335,-1.1910148,168150010000220,1681500100,T167430,48.0
-0.3443211,0.76867706,133230130002480,1332301300,N36448,36.0
-0.6330729,-0.05568771,029280060007570,292800600,T106326,72.0
1.8818834,-0.6606768,036220180002400,362201800,T133351,18.0
1.6920358,-0.8350252,036220180002550,362201800,T133351,18.0
1.7572002,-0.7243907,036220180002670,362201800,T133351,18.0
-0.65843105,1.0200536,133230130000780,1332301300,N36448,36.0
-0.05124672,0.88506573,133230130002340,1332301300,N36448,36.0
-0.24604821,-0.5532922,126280120000230,1262801200,N3839,60.0
-0.24604821,-0.5532922,126280120000230,1262801200,N3839,60.0
-0.13104576,0.834765,133230130002520,1332301300,N36448,36.0
0.48844108,-0.14223087,052140010003740,521400100,T139023,60.0
0.48844108,-0.14223087,052140010003740,521400100,T139023,60.0
1.3999921,-0.80695766,036220180000260,362201800,T133351,18.0
0.972796,-1.5244777,123130120000380,1231301200,N9842,12.0
0.972796,-1.5244777,123130120000380,1231301200,N9842,12.0
-0.29301554,1.5411154,157060010103430,1570600101,T59882,600.0
-0.63408417,-0.057090808,171230130104910,1712301301,T77908,90.0
