estc_id,total_illustration_density,total_price
N10627,0.4,60.0
N11044,1.75,12.0
N11061,0.14285714285714285,4.0
N11313,0.23684210526315788,18.0
N11744,0.16666666666666666,4.0
N11998,0.04819277108433735,160.0
N12098,0.6565656565656566,30.0
N13113,0.2,504.0
N13275,0.46153846153846156,6.0
N13506,0.4,12.0
N13909,0.2,12.0
N14018,0.041666666666666664,18.0
N14081,0.1,60.0
N14173,0.2222222222222222,12.0
N15078,0.07692307692307693,12.0
N15335,0.0625,12.0
N15369,0.012422360248447204,39.0
N15966,0.007575757575757576,42.0
N16098,0.3181818181818182,6.0
N16452,0.43414634146341463,72.0
N16485,0.4304932735426009,72.0
N19141,0.04736842105263158,252.0
N19413,0.0020920502092050207,432.0
N20133,0.125,6.0
N20778,0.2777777777777778,150.0
N20854,0.09770114942528736,60.0
N21332,0.05714285714285714,12.0
N21437,0.4166666666666667,12.0
N21633,0.03571428571428571,72.0
N22035,1.1597938144329898,42.0
N22060,0.20535714285714285,42.0
N22063,0.21238938053097345,42.0
N22324,0.015384615384615385,24.0
N23231,0.016666666666666666,36.0
N23643,0.2598870056497175,960.0
N24048,0.2857142857142857,4.0
N2446,0.014492753623188406,42.0
N24547,0.11627906976744186,12.0
N24878,0.058823529411764705,126.0
N25303,0.676923076923077,30.0
N26658,0.008695652173913044,30.0
N27594,0.35294117647058826,6.0
N27700,0.15384615384615385,6.0
N2805,0.02631578947368421,24.0
N28255,0.029411764705882353,24.0
N28545,0.2708333333333333,6.0
N29324,0.06418918918918919,72.0
N29611,0.012987012987012988,252.0
N3021,0.5909090909090909,12.0
N31012,0.0625,12.0
N31102,0.08695652173913043,6.0
N31771,0.358974358974359,8.0
N3220,0.008064516129032258,42.0
N32650,0.20408163265306123,12.0
N32668,1.2941176470588236,126.0
N32885,0.29411764705882354,6.0
N33392,0.5409836065573771,156.0
N33394,0.5163043478260869,252.0
N33395,0.5271739130434783,126.0
N33872,0.7333333333333333,6.0
N36307,0.25,6.0
N36434,0.1,6.0
N36448,0.6050955414012739,36.0
N36596,0.012711864406779662,72.0
N37422,0.030303030303030304,252.0
N38092,0.03669724770642202,54.0
N3839,0.36065573770491804,60.0
N3944,0.02702702702702703,36.0
N39461,0.02197802197802198,20.0
N39831,0.07142857142857142,72.0
N40349,0.2948717948717949,24.0
N40444,0.3333333333333333,6.0
N41891,0.26548672566371684,24.0
N42440,0.2222222222222222,6.0
N4288,0.1,6.0
N42986,0.026845637583892617,42.0
N43934,0.032679738562091505,48.0
N44161,0.031578947368421054,12.0
N44432,0.03773584905660377,24.0
N44470,0.013793103448275862,24.0
N4486,0.028409090909090908,114.0
N4577,0.13333333333333333,6.0
N46585,0.75,60.0
N47397,0.10256410256410256,6.0
N486,0.07407407407407407,6.0
N48711,0.05555555555555555,12.0
N4952,0.75,252.0
N4973,0.3333333333333333,6.0
N5054,0.18947368421052632,42.0
N54713,0.625,12.0
N5647,0.006423982869379015,360.0
N5655,0.033210332103321034,48.0
