ecco_id,image_count
0000100100,12
0000100200,31
0000100300,4
0000100400,14
0000100502,1
0000100600,12
0000100900,1
0000200200,31
0000200300,18
0000200400,1
0000200602,1
0000200700,222
0000200800,2
0000201000,13
0000300101,3
0000300102,1
0000300103,3
0000300302,4
0000300304,2
0000300400,5
0000400201,5
0000400202,5
0000400300,6
0000400501,4
0000400502,2
0000400503,2
0000500100,9
0000500201,5
0000500202,5
0000500300,1
0000500600,1
0000500800,2
0000500901,19
0000500902,8
0000600101,4
0000600102,2
0000600201,2
0000600202,2
0000600301,24
0000600302,25
0000600303,18
0000600304,20
0000600305,22
0000700200,8
0000700401,5
0000700402,3
0000700700,9
0000700800,3
0000800100,33
0000800200,2
0000800400,4
0000800500,1
0000800800,2
0000800900,42
0000900100,18
0000900200,17
0000900301,7
0000900302,6
0000900501,4
0000900502,1
0000900600,11
0000900700,9
0000900800,6
0001000100,2
0001000200,79
0001000300,2
0001000400,2
0001000500,1
0001000600,14
0001000700,1
0001000800,2
0001001000,31
0001100101,27
0001100102,27
0001100202,1
0001100300,18
0001100401,3
0001100402,3
0001100701,1
0001100702,2
0001200100,1
0001200301,2
0001200302,2
0001200303,1
0001200304,2
0001300100,4
0001300200,4
0001300301,24
0001300302,11
0001300401,7
0001300402,9
0001300500,1
0001300601,3
0001300602,1
0001300701,1
0001300702,1
0001300704,1
0001400100,1
0001400200,4
0001400300,24
0001400400,9
0001400500,15
0001400600,6
0001400701,24
0001400702,23
0001400703,19
0001400704,18
0001400705,25
0001500100,5
0001500201,13
0001500202,14
0001500301,33
0001500302,37
0001500500,21
0001500700,3
0001500800,1
0001500900,2
0001501000,17
0001600500,2
0001600600,2
0001601000,3
0001601100,7
0001601700,1
0001601800,7
0001700104,5
0001700201,2
0001700202,2
0001700203,2
0001700205,1
0001800106,7
0001800400,1
0001800600,2
0001800800,1
0001900102,4
0001900103,2
0001900302,2
0001900400,6
0002000200,5
0002000300,7
0002000700,1
0002000802,1
0002000900,13
0002001100,1
0002001400,8
0002100100,1
0002100200,2
0002100301,2
0002100400,1
0002100500,1
0002100600,4
0002200101,12
0002200102,14
0002200400,1
0002200501,9
0002200502,11
0002300200,1
0002300300,22
0002300701,35
0002300702,29
0002300900,10
0002301100,1
0002301200,2
0002301300,1
0002301500,37
0002600100,4
0002600200,6
0002600301,8
0002600302,1
0002600400,2
0002600600,3
0002600800,1
0002600902,3
0002600903,6
0002700101,28
0002700102,27
0002700103,13
0002700104,7
0002700105,12
0002700106,2
0002900100,5
0002900601,7
0002900602,6
0002900700,2
0002901200,7
0002901300,4
0002901400,2
0002901500,1
0003000101,1
0003000102,2
0003000103,1
0003000104,1
0003000301,1
0003100101,4
0003100102,8
0003100104,3
0003200100,3
0003200300,1
0003200400,1
0003200500,9
0003200600,4
0003200700,4
0003200801,16
0003200802,11
0003300200,2
0003300400,4
0003300501,2
0003300502,6
0003300600,10
0003300700,1
0003300800,2
0003300900,1
0003400201,1
0003400202,1
0003400300,1
0003500101,14
0003500102,13
0003500300,1
0003500500,17
0003500800,1
0003500900,1
0003501000,1
0003600101,18
0003600102,11
0003600200,29
0003600300,3
0003600401,9
0003600402,7
0003600800,8
0003601000,2
0003700400,154
0003700500,8
0003700600,3
0003700801,27
0003700802,29
0003700900,3
0003701000,1
0003800200,29
0003800500,3
0003800601,21
0003800700,5
0003800900,11
0003900300,3
0003900400,2
0003900500,2
0003900700,3
0003900801,2
0003900802,6
0003900900,2
0003901000,2
0003901400,5
0004000200,2
0004000401,6
0004000402,5
0004000403,8
0004100104,3
0004100105,8
0004100200,1
0004100300,15
0004200500,2
0004200600,1
0004200700,1
0004200800,3
0004200900,3
0004300200,1
0004300401,3
0004300402,1
0004300403,1
0004300404,1
0004400100,11
0004400201,27
0004400300,1
0004400400,4
0004400600,1
0004500100,1
0004500200,1
0004600101,23
0004600102,26
0004600103,7
0004700100,15
0004700200,5
0004700300,9
0004700402,2
0004700403,2
0004700600,3
0004700800,5
0004800100,9
0004800300,5
0004800500,1
0004900102,1
0004900104,1
0004900200,8
0004900300,1
0005000100,24
0005000201,10
0005000202,8
0005000301,3
0005000302,5
0005000400,11
0005000500,5
0005000601,9
0005000602,1
0005000701,20
0005000702,15
0005100201,5
0005100202,7
0005100203,6
0005100204,6
0005100205,6
0005100206,4
0005100207,3
0005100208,6
0005200101,2
0005200102,2
0005200301,1
0005200302,1
0005300201,2
0005300202,1
0005300203,1
0005300301,7
0005300302,8
0005300400,7
0005300500,20
0005300600,2
0005300701,1
0005400200,32
0005400400,1
0005400501,8
0005400502,7
0005400600,26
0005400700,3
0005400801,18
0005400802,18
0005400803,32
0005400900,2
0005500101,2
0005500102,5
0005600101,5
0005600102,1
0005600501,3
0005600502,1
0005600900,20
0005601001,13
0005601002,9
0005601100,13
0005601200,4
0005700100,24
0005700200,7
0005700401,2
0005700402,5
0005700500,1
0005700600,1
0005700701,10
0005700702,11
0005700800,2
0005800200,1
0005800300,2
0005800400,2
0005800500,1
0005800600,1
0005800700,1
0005800800,2
0005800900,3
0005801001,1
0005801101,7
0005801102,9
0005801200,1
0005801300,4
0005801400,3
0005801500,15
0005801602,4
0005900100,3
0005900200,2
0005900400,3
0005900500,115
0005900600,7
0005900700,1
0005901100,9
0005901201,23
0005901202,13
0005901203,19
0005901300,30
0005901400,47
0006000100,2
0006000301,5
0006000302,2
0006000400,8
0006000701,1
0006000702,2
0006000900,6
0006001000,4
0006100100,5
0006100201,18
0006100202,24
0006100300,4
0006100400,45
0006100600,2
0006100700,13
0006100800,18
0006100900,6
0006101000,19
0006101100,23
0006101201,47
0006101202,3
0006101203,8
0006101204,79
0006200201,3
0006200202,3
0006200300,2
0006200401,19
0006200402,17
0006200501,9
0006200502,4
